part,clause,page,lineno,field,value
1,,23,29,E.Info.ACM-1.SecurityAsset],"and whether there are network assets, that"
1,,23,30,"E.Info.ACM-1.NetworkAsset],",
1,,23,35,E.Info.ACM-1.SecurityAsset],and all network assets found are documented in [E.Info.ACM-
1,,23,38,E.Info.ACM-1.SecurityAsset],or a network asset is found which is not documented in [E.Info.ACM-
1,,24,11,E.Info.ACM-1.SecurityAsset],and each network asset documented
1,,24,12,E.Info.ACM-1.NetworkAsset],functionally confirm the existence of access control mechanisms
1,,24,13,E.Info.ACM-1.SecurityAsset.ACM],or [E.Info.ACM-1.NetworkAsset.ACM] by accessing the
1,,24,14,E.Info.ACM-1.NetworkAsset.Access],and [E.Info.ACM-1.SecurityAsset.Access].
1,,24,17,E.Info.ACM-1.SecurityAsset.ACM],or [E.Info.ACM-1.NetworkAsset.ACM] is
1,,24,20,E.Info.ACM-1.SecurityAsset.ACM],or [E.Info.ACM-1.NetworkAsset.ACM] is not
1,,26,8,E.Info.ACM-2.SecurityAsset],Description of each security asset for which ACM-1 requires access control
1,,26,10,E.Info.ACM-2.SecurityAsset.ACM],Description of each access control mechanism required
1,,26,14,E.Info.ACM-2.NetworkAsset],Description of each network asset for which ACM-1 requires access
1,,26,16,E.Info.ACM-2.NetworkAsset.ACM],Description of each access control mechanism required
1,,26,20,E.Info.DT.ACM-2],Description of the selected path through the decision tree in Figure 2 for each security
1,,26,21,E.Info.ACM-2.SecurityAsset],and network asset documented in [E.Info.ACM-
1,,26,24,"E.Info.DT.ACM-2],",with the following property:
1,,26,34,E.Info.ACM,-
1,,26,35,E.Info.ACM-2.SecurityAsset.ACM],.
1,,27,6,E.Info.ACM-2.SecurityAsset],and each network asset documented
1,,27,7,"E.Info.ACM-2.NetworkAsset],",check whether the path through the decision tree documented in
1,,27,8,E.Info.DT.ACM-2],ends with “PASS”.
1,,27,9,"E.Info.DT.ACM-2],",examine its justification
1,,27,13,E.Info.DT.ACM-2],end with “PASS”; and
1,,27,15,E.Info.DT.ACM-2].,
1,,27,17,E.Info.DT.ACM-2],ends with “FAIL”; or
1,,27,19,E.Info.DT.ACM-2].,
1,,28,4,E.Info.ACM-2.SecurityAsset],and network asset documented in
1,,28,5,E.Info.ACM-2.NetworkAsset],
1,,28,6,E.Info.ACM-2.SecurityAsset.ACM],or
1,,28,7,E.Info.ACM-2.NetworkAsset.ACM],"belong to [IC.ACM-2.RBAC], functionally confirm that:"
1,,28,13,E.Info.ACM-2.SecurityAsset.ACM],or
1,,28,14,E.Info.ACM-2.NetworkAsset.ACM],"belong to  [IC.ACM-2.DAC], functionally confirm that:"
1,,28,20,E.Info.ACM-2.SecurityAsset.ACM],or
1,,28,21,E.Info.ACM-2.NetworkAsset.ACM],"belong to  [IC.ACM-2.MAC], functionally confirm that:"
1,,28,28,E.Info.ACM-2.SecurityAsset.ACM],
1,,28,29,E.Info.ACM-2.NetworkAsset.ACM],"belong to  [IC.ACM-2.Generic], functionally confirm that:"
1,,28,35,E.Info.ACM,-
1,,28,36,E.Info.ACM-2.NetworkAsset],the confirmations in the
1,,29,3,E.Info.ACM,-
1,,29,4,E.Info.ACM-2.NetworkAsset],a confirmation in the
1,,31,4,E.Info.AUM-1-1.ACM],Description of each access control mechanism required per ACM-1 for managing
1,,31,8,E.Info.AUM-1-1.ACM.NetworkInterface],Description of the network interfaces for the
1,,31,10,E.Info.AUM-1-1.ACM.ManagedAccessNetworkAsset],Description of the managed access to
1,,31,12,E.Info.AUM-1-1.ACM.ManagedAccessSecurityAsset],Description of the managed access to
1,,31,16,E.Info.AUM-1-1.ACM.IntendedFunctionality],Description of
1,,31,30,E.Info.AUM-1-1.ACM.AuthorizedEntity],Description of the networks and the
1,,31,39,E.Info.AUM-1,-
1,,31,47,E.Info.DT.AUM-1-1],Description of the selected path through the decision tree in Figure 3 for each access
1,,31,48,E.Info.AUM-1-1.ACM].,
1,,31,50,E.Info.DT.AUM-1-1],with the following properties:
1,,31,52,E.Info.AUM-1-1.ACM.IntendedFunctionality];,and
1,,31,54,E.Info.AUM-1-1.ACM.AuthorizedEntity];,and
1,,31,55,E.Info.AUM-1-1.ACM].,
1,,32,12,"E.Info.AUM-1-1.ACM],",check whether the path
1,,32,13,E.Info.DT.AUM-1-1],ends with “NOT APPLICABLE” or “PASS”.
1,,32,14,"E.Info.DT.AUM-1-1],",examine its justification
1,,32,18,E.Info.DT.AUM-1-1],ends with
1,,32,20,E.Info.DT.AUM-1-1],ends with “FAIL”; and
1,,33,4,E.Info.DT.AUM-1-1].,
1,,33,6,E.Info.DT.AUM-1-1],ends with “FAIL”; or
1,,33,8,E.Info.DT.AUM-1-1].,
1,,33,16,E.Info.AUM-1-1.ACM].,
1,,33,24,E.Info.AUM-1-1.ACM].,
1,,33,30,E.Info.AUM-1-1.ACM].,
1,,33,35,E.Info.AUM-1-1.ACM].,
1,,34,6,"E.Info.AUM-1-1.ACM],",each managed access via
1,,34,14,E.Info.AUM-1,-
1,,34,16,"E.Info.AUM-1-1.ACM.ManagedAccessSecurityAsset],",access the corresponding security
1,,34,20,E.Info.AUM-1-1.ACM.AuthenticationMechanism],is not implemented.
1,,34,22,E.Info.AUM-1-1.ACM.AuthenticationMechanism],is not implemented.
1,,34,31,E.Info.AUM-1-2.ACM],Description of each access control mechanism required per ACM-1 for managing
1,,34,35,E.Info.AUM-1-2.ACM.UserInterfaces],A description of the user interfaces for the managed
1,,34,37,E.Info.AUM-1-2.ACM.ManagedAccessNetworkAsset],Description of the managed access to
1,,34,39,E.Info.AUM-1-2.ACM.ManagedAccessSecurityAsset],Description of the managed access to
1,,34,42,E.Info.AUM-1-2.ACM.IntendedEnvironment],Description of
1,,34,50,E.Info.AUM-1,-
1,,35,5,E.Info.AUM-1-2.ACM.ReadOnlyFunctionality],Description of the
1,,35,10,E.Info.AUM-1-2.ACM.ReadOnlyLegal],References to all corresponding paragraph(s) or
1,,35,13,E.Info.DT.AUM-1-2],Description of the selected path through the decision tree in Figure 4 for each access
1,,35,14,E.Info.AUM-1-2.ACM].,
1,,35,15,E.Info.DT.AUM,-
1,,35,18,E.Info.AUM-1-2.ACM.IntendedEnvironment];,and
1,,35,20,E.Info.AUM-1-2.ACM.ReadOnlyFunctionality];,and
1,,35,22,E.Info.AUM-1-2.ACM.ReadOnlyLegal];,and
1,,35,23,E.Info.AUM-1-2.ACM].,
1,,36,6,"E.Info.AUM-1-2.ACM],",check whether the path
1,,36,7,E.Info.DT.AUM-1-2],ends with “NOT APPLICABLE” or “PASS”.
1,,36,8,"E.Info.DT.AUM-1-2],",examine its justification
1,,36,12,E.Info.DT.AUM-1-2],ends with
1,,36,14,E.Info.DT.AUM-1-2],ends with “FAIL”; and
1,,36,16,E.Info.DT.AUM-1-2].,
1,,36,18,E.Info.DT.AUM-1-2],ends with “FAIL”; or
1,,37,4,E.Info.DT.AUM-1-2].,
1,,37,12,E.Info.AUM-1-2.ACM].,
1,,37,20,E.Info.AUM-1-2.ACM].,
1,,37,26,E.Info.AUM-1-2.ACM].,
1,,37,31,E.Info.AUM-1-2.ACM].,
1,,38,4,"E.Info.AUM-1-2.ACM],",each managed access via user
1,,38,5,E.Info.AUM-1-2.ACM.ManagedAccessNetworkAsset],and
1,,38,6,E.Info.AUM-1,-
1,,38,11,E.Info.AUM-1-2.ACM.AuthenticationMechanism],is not implemented.
1,,38,13,E.Info.AUM-1-2.ACM.AuthenticationMechanism],is not implemented.
1,,39,27,E.Info.AUM-2.AuthenticationMechanism],Description of each authentication mechanism required per
1,,39,29,E.Info.AUM-2.AuthenticationMechanism.AuthFactor],Description of the authenticator.
1,,39,30,E.Info.DT.AUM-2],Description of the selected path through the decision tree in Figure 5 for each
1,,39,31,E.Info.AUM-2.AuthenticationMechanism].,
1,,39,33,E.Info.DT.AUM-2],with the following property:
1,,39,43,E.Info.AUM,-
1,,40,7,"E.Info.AUM-2.AuthenticationMechanism],",check whether the path through the
1,,40,8,E.Info.DT.AUM-2],ends with “PASS”.
1,,40,9,"E.Info.DT.AUM-2],",examine its justification
1,,40,13,E.Info.DT.AUM-2],end with “PASS”; and
1,,40,15,E.Info.DT.AUM-2].,
1,,40,17,E.Info.DT.AUM-2],ends with “FAIL”; or
1,,40,19,E.Info.DT.AUM-2].,
1,,41,12,E.Info.AUM-2.AuthenticationMechanism],perform an authentication and
1,,41,16,E.Info.AUM-2.AuthenticationMechanism].,
1,,41,18,E.Info.AUM-2.AuthenticationMechanism].,
1,,42,22,E.Info.AUM-3.AUM],Description of each authentication mechanism required per AUM-1-1 (network
1,,42,24,E.Info.AUM-3.AUM.AuthVal],Description how the validation of the authenticator is
1,,42,26,E.Info.AUM-3.AUM.AuthEnv],Description of the available information about the
1,,42,28,E.Info.DT.AUM-3],Description of the selected path through the decision tree in Figure 6 for each
1,,42,29,E.Info.AUM-3.AUM].,
1,,42,31,E.Info.DT.AUM-3],with the following property:
1,,42,32,E.Info.AUM-3.AUM.AuthVal],
1,,42,33,E.Info.AUM-3.AUM.AuthEnv].,
1,,42,37,E.Info.AUM-3.AUM].,
1,,43,6,"E.Info.AUM-3.AUM],",check whether the path through
1,,43,7,E.Info.DT.AUM-3],ends with “PASS”.
1,,43,8,"E.Info.DT.AUM-3],",examine its justification
1,,43,12,E.Info.DT.AUM-3],end with “PASS”; and
1,,43,14,E.Info.DT.AUM-3].,
1,,43,16,E.Info.DT.AUM-3],ends with “FAIL”; or
1,,43,18,E.Info.DT.AUM-3].,
1,,44,6,E.Info.AUM-3.AUM],
1,,44,8,E.Info.AUM-3.AUM.AuthVal],by
1,,44,19,E.Info.AUM-3.AUM.AuthVal],by examining whether:
1,,44,33,E.Info.AUM-3.AUM.AuthVal],by
1,,45,5,E.Info.AUM-3.AUM],the confirmations in the implementation category dependent assessment unit are
1,,45,8,E.Info.AUM-3.AUM],a confirmation in the implementation category dependent assessment unit is not
1,,46,10,E.Info.AUM-4.AUM],Description of each authentication mechanism required by AUM-1-1 (network
1,,46,12,E.Info.AUM-4.AUM.ConfSecGoals],
1,,46,14,E.Info.AUM-4.AUM.AuthChange],Description for
1,,46,15,E.Info.AUM-4.AUM],how the change of the
1,,46,17,E.Info.DT.AUM-4],Description of the selected path through the decision tree in Figure 7 for each
1,,46,18,E.Info.AUM-4.AUM.AuthChange].,
1,,46,20,E.Info.DT.AUM-4],with the following properties:
1,,46,30,E.Info.AUM,-
1,,46,41,E.Info.AUM,-
1,,46,46,E.Info.AUM-4.AUM],can be changed.
1,,47,6,"E.Info.AUM-4.AUM],",check whether the path
1,,47,7,E.Info.DT.AUM-4],ends with “NOT APPLICABLE” or “PASS”.
1,,47,8,"E.Info.DT.AUM-4],",examine its justification
1,,47,12,E.Info.DT.AUM-4],ends with
1,,47,14,E.Info.DT.AUM-4],ends with “FAIL”; and
1,,47,16,E.Info.DT.AUM-4].,
1,,47,18,E.Info.DT.AUM-4],ends with “FAIL”; or
1,,47,20,E.Info.DT.AUM-4].,
1,,48,7,E.Info.AUM-4.AUM.AuthChange].,
1,,48,12,"E.Info.AUM-4.AUM],",functionally confirm the ability to change authenticator
1,,48,13,E.Info.AUM-4.AUM.AuthChange],by
1,,48,21,E.Info.AUM-4.AUM.AuthChange].,
1,,48,23,E.Info.AUM-4.AUM.AuthChange].,
1,,50,9,E.Info.AUM-5-1.AUM],Description of each authentication mechanism required per AUM-1-1 (network
1,,50,11,E.Info.AUM-5-1.AUM.PwdProperty],Description for each authentication mechanism’s
1,,50,18,E.Info.DT.AUM-5-1],Description of the selected path through the decision tree in Figure 8 for each
1,,50,19,E.Info.AUM-5-1.AUM].,
1,,50,21,E.Info.DT.AUM-5-1],with the following properties:
1,,50,23,E.Info.AUM-5-1.AUM.PwdProperty].,
1,,51,6,"E.Info.AUM-5-1.AUM],",check whether the path
1,,51,7,E.Info.DT.AUM-5-1],ends with “PASS”.
1,,51,8,"E.Info.DT.AUM-5-1],",examine its justification
1,,51,12,E.Info.DT.AUM-5-1],end with “PASS”; and
1,,51,14,E.Info.DT.AUM-5-1].,
1,,51,16,E.Info.DT.AUM-5-1],ends with “FAIL”; or
1,,51,18,E.Info.DT.AUM-5-1].,
1,,52,9,E.Info.AUM-5-1.AUM.PwdProperty],belongs to [IC.AUM-5-
1,,52,12,E.Info.AUM-5-1.AUM],
1,,52,19,E.Info.AUM-5-1.AUM.PwdProperty],
1,,52,24,E.Info.AUM-5-1.AUM.PwdProperty],by:
1,,52,26,E.Info.AUM-5-1.AUM.PwdProperty];,and
1,,52,35,E.Info.AUM-5-1.AUM.PwdProperty],
1,,52,40,E.Info.AUM-5-1.AUM.PwdProperty],by:
1,,52,52,E.Info.AUM-5,-
1,,52,62,E.Info.AUM-5,-
1,,53,12,E.Info.AUM-5-2.AUM],Description of each authentication mechanism required per AUM-1-1 (network
1,,53,14,E.Info.AUM-5-2.AUM.PwdProperty],Description for each authentication mechanism’s non-
1,,53,28,E.Info.DT.AUM-5-2],Description of the selected path through the decision tree in Figure 9 for each
1,,53,29,E.Info.AUM-5-2.AUM].,
1,,53,31,E.Info.DT.AUM-5-2],with the following property:
1,,53,33,E.Info.AUM-5-2.AUM.PwdProperty].,
1,,54,6,"E.Info.AUM-5-2.AUM],",check whether the path
1,,54,7,E.Info.DT.AUM-5-2],ends with “PASS”.
1,,54,8,"E.Info.DT.AUM-5-2],",examine its justification
1,,54,9,E.Info.DT.AUM-5-2].,
1,,54,12,E.Info.DT.AUM-5-2],end with “PASS”; and
1,,54,14,E.Info.DT.AUM-5-2].,
1,,54,16,E.Info.DT.AUM-5-2],ends with “FAIL”; or
1,,54,18,E.Info.DT.AUM-5-2].,
1,,55,10,E.Info.AUM-5-2.AUM],
1,,55,11,E.Info.AUM-5-2.AUM.PwdProperty],belongs
1,,55,13,E.Info.AUM-5-2.AUM.PwdProperty],by:
1,,55,17,E.Info.AUM-5-2.AUM.PwdProperty],
1,,55,19,E.Info.AUM-5-2.AUM.PwdProperty],by:
1,,55,27,E.Info.AUM-5-2.AUM.PwdProperty],
1,,55,29,E.Info.AUM-5-2.AUM.PwdProperty],by:
1,,56,4,E.Info.AUM-5-2.AUM.PwdProperty].,
1,,56,14,E.Info.AUM-5,-
1,,56,24,E.Info.AUM-5,-
1,,57,19,E.Info.AUM-6.AUM],Description of each authentication mechanism required per AUM-1-1 (network
1,,57,21,E.Info.AUM-6.AUM.BFProtection],Description how the resilience against brute force attacks
1,,57,23,E.Info.DT.AUM-6],Description of the selected path through the decision tree in Figure 10 for each
1,,57,24,E.Info.AUM-6.AUM].,
1,,57,26,E.Info.DT.AUM-6],with the following properties:
1,,57,36,E.Info.AUM,-
1,,58,6,"E.Info.AUM-6.AUM],",check whether the path through
1,,58,7,E.Info.DT.AUM-6],ends with “PASS”.
1,,58,8,"E.Info.DT.AUM-6],",examine its justification
1,,58,12,E.Info.DT.AUM-6],end with “PASS”; and
1,,58,14,E.Info.DT.AUM-6].,
1,,58,16,E.Info.DT.AUM-6],ends with “FAIL”; or
1,,58,18,E.Info.DT.AUM-6].,
1,,59,6,E.Info.AUM-6.AUM],
1,,59,7,E.Info.AUM-6.AUM.BFProtection],belongs to
1,,59,9,E.Info.AUM-6.AUM.BFProtection],by:
1,,59,12,E.Info.AUM-6.AUM.BFProtection],belongs to
1,,59,14,E.Info.AUM-6.AUM.BFProtection],by:
1,,59,18,E.Info.AUM-6.AUM.BFProtection],
1,,59,20,E.Info.AUM-6.AUM.BFProtection],by:
1,,59,22,E.Info.AUM-6.AUM.BFProtection];,and
1,,59,24,E.Info.AUM-6.AUM.BFProtection],belongs to [IC.AUM-
1,,59,25,E.Info.AUM,-
1,,59,30,E.Info.AUM-6.AUM],the confirmations in the implementation category dependent assessment unit are
1,,59,33,E.Info.AUM-6.AUM],a confirmation in the implementation category dependent assessment unit is not
1,,61,10,E.Info.SUM-1.PartOfSoftw],Description of each parts of the software affecting the security assets and/or
1,,61,12,E.Info.SUM,-
1,,61,16,E.Info.SUM,-
1,,61,19,E.Info.SUM,-
1,,61,26,E.Info.SUM-1.PartOfSoftw.SUM],Description of the
1,,61,32,E.Info.DT.SUM-1],Description of the selected path through the decision tree in Figure 11 for each part
1,,61,33,E.Info.SUM-1.PartOfSoftw].,
1,,61,35,E.Info.DT.SUM-1],with the following properties:
1,,61,37,E.Info.SUM-1.PartOfSoftw.FuncSaftyImp];,and
1,,61,39,E.Info.SUM-1.PartOfSoftw.Immutable];,and
1,,62,4,E.Info.SUM-1.PartOfSoftw.AltMeasures].,
1,,62,14,"E.Info.SUM-1.PartOfSoftw],",check whether the path through
1,,62,15,E.Info.DT.SUM-1],ends with “NOT APPLICABLE” or “PASS”.
1,,62,16,"E.Info.DT.SUM-1],",check that its justification
1,,62,21,E.Info.DT.SUM-1],ends with
1,,62,23,E.Info.DT.SUM-1],ends with “FAIL”; and
1,,62,25,E.Info.DT.SUM-1].,
1,,63,4,E.Info.DT.SUM-1],ends with “FAIL”; or
1,,63,6,E.Info.DT.SUM-1].,
1,,63,14,E.Info.SUM-1.PartOfSoftw.SUM].,
1,,63,17,"E.Info.SUM-1.PartOfSoftw.SUM],",the manufacturer provides
1,,63,21,E.Info.SUM-1.PartOfSoftw.SUM],which ends with a PASS
1,,63,25,E.Info.SUM-1.PartOfSoftw.SUM].,
1,,63,27,E.Info.SUM-1.PartOfSoftw.SUM].,
1,,64,41,E.Info.SUM-2.SUM],Description of each update mechanism that can update a part of the software
1,,64,42,"E.Info.SUM-1.PartOfSoftw],",including:
1,,64,43,E.Info.SUM-2.SUM.Sign],
1,,64,45,E.Info.CRY-1.Assets.Cryptography];,and
1,,64,46,E.Info.SUM,-
1,,64,48,E.Info.SCM-1.SCM],with a description of the underlying best practice cryptography as per
1,,64,49,E.Info.CRY-1.Assets.Cryptography];,and
1,,65,3,E.Info.SUM,-
1,,65,4,E.Info.ACM,-
1,,65,13,E.Info.CRY,-
1,,65,22,E.Info.SUM,-
1,,65,25,E.Info.DT.SUM-2],Description of the selected path through the decision tree in Figure 12 for each update
1,,65,26,E.Info.SUM-2.SUM].,
1,,65,28,E.Info.DT.SUM-2],with the following properties:
1,,65,30,E.Info.SUM-2.SUM.Sign];,and
1,,65,32,E.Info.SUM-2.SUM.SecChan];,and
1,,65,34,E.Info.SUM-2.SUM.AccContMech];,and
1,,65,36,E.Info.SUM-2.SUM.Generic].,
1,,66,7,"E.Info.SUM-2.SUM],",check whether the path through the
1,,66,9,"E.Info.DT.SUM-2],",check that its justification
1,,66,10,"E.Info.SUM-2.SUM.Generic],",the
1,,66,14,E.Info.DT.SUM-2],end with “PASS”; and
1,,66,16,E.Info.DT.SUM-2].,
1,,66,18,E.Info.DT.SUM-2],ends with “FAIL”; or
1,,66,20,E.Info.DT.SUM-2].,
1,,67,7,E.Info.SUM-2.SUM.Generic].,
1,,67,12,E.Info.SUM-2.SUM],
1,,68,9,E.Info.SUM-2.SUM],the confirmations in the implementation category dependent assessment unit are
1,,68,12,E.Info.SUM-2.SUM],a confirmation in the implementation category dependent assessment unit is not
1,,70,10,E.Info.SUM-3.SUM],"Description of each update mechanism required per SUM-1, including:"
1,,70,11,E.Info.SUM-3.SUM.Automation],Description of the means to automate the update
1,,70,13,E.Info.DT.SUM-3],Description of the selected path through the decision tree in Figure 13 for each update
1,,70,14,E.Info.SUM-3.SUM].,
1,,70,16,E.Info.DT.SUM-3],with the following properties:
1,,70,18,E.Info.SUM-3.SUM.Automation].,
1,,70,22,E.Info.SUM-3.SUM.Automation],as required per SUM-3.
1,,71,4,E.Info.DT.SUM-3],ends with “PASS” or “FAIL”.
1,,71,5,"E.Info.DT.SUM-3],",examine its justification
1,,71,9,E.Info.DT.SUM-3],end with “PASS”; and
1,,71,11,E.Info.DT.SUM-3].,
1,,71,13,E.Info.DT.SUM-3],ends with “FAIL”; or
1,,71,15,E.Info.DT.SUM-3].,
1,,71,25,E.Info.SUM-3.SUM.Automation].,
1,,71,30,E.Info.SUM-3.SUM],functionally assess whether the
1,,71,31,E.Info.SUM-3.SUM.Automation],by:
1,,72,9,E.Info.SUM-3.SUM].,
1,,72,11,E.Info.SUM-3.SUM].,
1,,73,19,E.Info.SSM-1.SecurityAsset],"Description of each security asset persistently stored on the equipment,"
1,,73,31,E.Info.SSM,-
1,,73,37,E.Info.SSM,-
1,,73,39,E.Info.SSM-1.NetworkAsset],"Description of each network asset persistently stored on the equipment,"
1,,73,51,E.Info.SSM,-
1,,74,4,E.Info.SSM-1.NetworkAsset.SSM],Description of the secure storage mechanism.
1,,74,5,E.Info.DT.SSM-1],Description of the selected path through the decision tree in Figure 14 for each
1,,74,6,E.Info.SSM-1.SecurityAsset],and [E.Info.SSM-
1,,74,9,E.Info.DT.SSM-1],with the following properties:
1,,74,11,E.Info.SSM-1.SecurityAsset.Environment],or
1,,74,12,E.Info.SSM-1.NetworkAsset.Environment];,and
1,,74,22,E.Info.SSM,-
1,,74,23,E.Info.SSM-1.NetworkAsset.SSM].,
1,,75,3,E.Info.SSM-1.SecurityAsset],and for each network asset
1,,75,4,"E.Info.SSM-1.NetworkAsset],",check whether the path through the decision tree
1,,75,5,E.Info.DT.SSM-1],ends with “NOT APPLICABLE” or “PASS”.
1,,75,6,"E.Info.DT.SSM-1],",examine its justification
1,,75,10,E.Info.DT.SSM-1],ends with
1,,75,12,E.Info.DT.SSM-1],ends with “FAIL”; and
1,,75,14,E.Info.DT.SSM-1].,
1,,75,16,E.Info.DT.SSM-1],ends with “FAIL”; or
1,,75,18,E.Info.DT.SSM-1].,
1,,75,23,E.Info.SSM-1.SecurityAsset],and network assets documented in [E.Info.SSM-1.NetworkAsset] are
1,,75,29,E.Info.SSM-1.SecurityAsset].,
1,,75,31,E.Info.SSM-1.NetworkAsset].,
1,,75,34,E.Info.SSM-1.SecurityAsset],and all network assets persistently stored found are
1,,75,35,E.Info.SSM-1.NetworkAsset].,
1,,75,37,E.Info.SSM-1.SecurityAsset],or a persistently stored network asset is found which
1,,75,38,E.Info.SSM-1.NetworkAsset].,
1,,76,11,"E.Info.SSM-1.SecurityAsset],",functionally confirm it is persistently
1,,76,12,E.Info.SSM-1.SecurityAsset.SSM].,
1,,76,13,"E.Info.SSM-1.NetworkAsset],",functionally confirm it is
1,,76,23,E.Info.SSM,-
1,,76,28,E.Info.SSM-1.SecurityAsset.SSM];,and
1,,76,30,E.Info.SSM-1.NetworkAsset.SSM].,
1,,76,33,E.Info.SSM-1.SecurityAsset.SSM];,or
1,,76,35,E.Info.SSM-1.NetworkAsset.SSM].,
1,,77,29,E.Info.SSM-2.SSM],"Description of each secure storage mechanism, including"
1,,77,31,E.Info.SSM,-
1,,77,38,E.Info.SSM,-
1,,78,5,E.Info.SSM,-
1,,78,10,E.Info.SSM,-
1,,78,15,E.Info.SSM-2.SSM.Generic],
1,,78,26,E.Info.DT.SSM-2],Description of the selected path through the decision tree in Figure 15 for each secure
1,,78,27,E.Info.SSM-2.SSM].,
1,,78,29,E.Info.DT.SSM-2],with the following properties:
1,,78,31,E.Info.SSM-2.SSM.DigitalSignature];,and
1,,78,33,E.Info.SSM-2.SSM.AccessControl];,and
1,,78,35,E.Info.SSM-2.SSM.OTProgrammable];,and
1,,78,37,E.Info.SSM-2.SSM.HardwareProtection];,and
1,,78,39,E.Info.SSM-2.SSM.Generic].,
1,,79,12,E.Info.SSM-2.SSM],check whether the path through the decision
1,,79,13,E.Info.DT.SSM-2],ends with “PASS”.
1,,79,14,"E.Info.DT.SSM-2],",examine its justification
1,,79,18,E.Info.DT.SSM-2],end with “PASS”; and
1,,79,20,E.Info.DT.SSM-2].,
1,,79,22,E.Info.DT.SSM-2],ends with “FAIL”; or
1,,79,24,E.Info.DT.SSM-2].,
1,,80,14,E.Info.SSM-2.SSM],
1,,80,17,E.Info.SSM-2.SSM.DigitalSignature];,and
1,,80,24,E.Info.SSM-2.SSM.AccessControl];,and
1,,80,28,E.Info.SSM-2.SSM.OTProgrammable];,and
1,,80,32,E.Info.SSM-2.SSM.HardwareProtection];,and
1,,81,3,E.Info.SSM-2.SSM.Generic];,and
1,,81,8,E.Info.SSM-2.SSM],the confirmations in the implementation category dependent assessments units
1,,81,11,E.Info.SSM-2.SSM],a confirmation in the implementation category dependent assessment units is not
1,,82,10,E.Info.SSM-3.SSM],Description of each secure storage mechanism that persistently stores confidential
1,,82,12,E.Info.SSM-3.SSM.Asset],List of all confidential security parameter and confidential network
1,,82,22,E.Info.SSM,-
1,,82,28,E.Info.SSM,-
1,,82,34,E.Info.SSM,-
1,,82,39,E.Info.SSM-3.SSM.Generic],
1,,82,51,E.Info.DT.SSM-3],Description of the selected path through the decision tree in Figure 16 for each secure
1,,82,52,E.Info.SSM-3.SSM].,
1,,83,4,E.Info.DT.SSM-3],with the following properties:
1,,83,6,E.Info.SSM-3.SSM.Encryption];,and
1,,83,8,E.Info.SSM-3.SSM.AccessControl];,and
1,,83,10,E.Info.SSM-3.SSM.HardwareProtection];,and
1,,83,12,E.Info.SSM-3.SSM.Generic].,
1,,83,23,E.Info.SSM-3.SSM],check whether the path through the decision
1,,83,24,E.Info.DT.SSM-3],ends with “PASS”.
1,,84,3,"E.Info.DT.SSM-3],",examine its justification
1,,84,7,E.Info.DT.SSM-3],end with “PASS”; and
1,,84,9,E.Info.DT.SSM-3].,
1,,84,11,E.Info.DT.SSM-3],ends with “FAIL”; or
1,,84,13,E.Info.DT.SSM-3].,
1,,84,18,E.Info.SSM-3.SSM.Asset],are complete.
